valor hora
1.06 21:22:09
2.60 21:21:59
1.06 21:21:30
4.08 21:21:11
1.38 21:20:39
12.54 21:20:36
1.50 21:20:31
12.54 21:20:24
1.50 21:19:44
2.88 21:19:37
1.37 21:19:33
2.88 21:19:25
1.37 21:18:57
1.16 21:18:47
3.52 21:18:44
1.84 21:18:31
3.52 21:18:27
1.84 21:17:59
13.00 21:17:37
1.31 21:16:54
8.19 21:16:41
2.45 21:15:58
1.29 21:15:31
2.06 21:15:17
69.43 21:15:03
2.37 21:14:59
69.43 21:14:56
2.37 21:14:00
2.29 21:13:57
2.29 21:13:51
1.80 21:13:46
1.38 21:13:26
1.11 21:13:06
1.30 21:12:59
1.21 21:12:37
2.85 21:12:26
29.31 21:11:58
2.95 21:11:33
2.59 21:11:30
1.01 21:11:27
2.95 21:11:16
1.01 21:10:42
1.63 21:10:34
1.55 21:10:14
1.00 21:10:01
2.57 21:09:50
3.34 21:09:45
1.69 21:09:24
3.34 21:09:09
12.59 21:08:51
1.52 21:08:46
12.59 21:08:43
1.52 21:07:59
1.00 21:07:47
1.30 21:07:35
1.44 21:07:19
2.52 21:07:02
10.57 21:06:40
1.36 21:06:23
1.95 21:06:19
1.01 21:06:15
2.27 21:06:11
1.36 21:06:07
2.27 21:05:45
1.34 21:05:33
1.00 21:05:12
1.00 21:04:57
2.27 21:04:46
9.52 21:04:41
5.47 21:04:39
9.52 21:04:26
5.47 21:04:11
1.32 21:04:08
1.05 21:03:56
5.47 21:03:47
1.06 21:03:20
1.30 21:03:08
1.12 21:02:55
5.80 21:02:46
1.56 21:02:16
1.18 21:02:00
1.33 21:01:49
3.04 21:01:30
1.02 21:01:27
2.90 21:01:25
1.02 21:01:06
2.90 21:00:55
1.00 21:00:28
13.65 21:00:20
3.70 20:59:34
2.53 20:59:07
3.79 20:58:46
3.41 20:58:25
1.88 20:57:51
1.38 20:57:30
1.98 20:57:17
1.50 20:56:57
1.37 20:56:40
1.18 20:56:31
1.01 20:56:24
2.15 20:56:20
1.29 20:55:53
1.01 20:55:48
1.01 20:55:45
1.57 20:55:41
10.83 20:55:30
1.00 20:55:26
10.83 20:55:14
1.00 20:54:30
1.56 20:54:28
1.85 20:54:04
4.10 20:53:39
3.89 20:53:11
3.48 20:52:41
8.65 20:52:18
2.27 20:52:02
1.01 20:51:55
1.01 20:51:51
2.27 20:51:46
1.91 20:51:42
1.74 20:51:38
1.11 20:51:18
24.53 20:51:04
85.15 20:50:14
1.38 20:49:06
7.47 20:48:54
4.95 20:48:19
2.82 20:47:48
1.82 20:47:31
1.21 20:47:05
49.17 20:46:45
1.44 20:45:56
1.68 20:45:47
2.65 20:45:44
1.68 20:45:41
2.65 20:45:31
1.15 20:45:28
2.65 20:45:22
1.08 20:44:50
15.08 20:44:35
1.14 20:43:51
1.19 20:43:39
4.38 20:43:24
3.78 20:42:54
104.61 20:42:27
1.00 20:41:18
2.79 20:41:04
1.10 20:40:42
4.70 20:40:27
4.64 20:39:56
4.38 20:39:25
14.68 20:39:00
1.72 20:38:16
3.22 20:37:55
1.29 20:37:49
1.15 20:37:45
1.29 20:37:34
2.73 20:37:17
4.09 20:36:51
1.02 20:36:28
1.10 20:36:14
1.20 20:36:00
4.44 20:35:45
1.71 20:35:17
1.44 20:34:56
1.73 20:34:42
5.73 20:34:26
1.16 20:33:52
1.79 20:33:45
2.58 20:33:43
2.21 20:33:37
2.58 20:33:24
2.21 20:32:59
1.01 20:32:37
2.06 20:32:28
3.96 20:32:07
8.12 20:31:39
1420.84 20:31:08
8.57 20:29:23
1.00 20:28:47
3.41 20:28:39
1.93 20:28:16
1.23 20:28:10
1.04 20:27:54
7.13 20:27:41
3.79 20:27:00
2.89 20:26:50
1.05 20:26:48
1.10 20:26:42
2.89 20:26:26
1.90 20:26:04
1.29 20:26:01
2.90 20:25:39
1.29 20:25:23
6.30 20:25:10
1.97 20:24:59
1.97 20:24:51
1.04 20:24:47
1.50 20:24:44
32.32 20:24:42
2.87 20:24:31
32.32 20:24:12
3.41 20:23:39
2.00 20:23:34
2.31 20:23:27
1.78 20:23:13
1.08 20:23:10
1.08 20:23:06
1.74 20:22:52
2.06 20:22:36
1.32 20:22:14
1.84 20:22:00
1.23 20:21:42
4.53 20:21:25
1.79 20:20:58
1.44 20:20:41
1.04 20:20:23
1.03 20:20:17
2.69 20:20:14
2.30 20:20:11
2.69 20:20:02
2.30 20:19:55
1.00 20:19:49
2.30 20:19:38
1.00 20:19:31
1.40 20:19:28
1.00 20:19:18
1.40 20:19:09
1.85 20:18:54
2.19 20:18:35
1.50 20:18:32
14.57 20:18:15
1.21 20:17:32
1.14 20:17:16
2.52 20:17:13
11.76 20:17:10
2.52 20:17:05
11.76 20:16:43
1.22 20:16:01
2.61 20:15:47
1.10 20:15:25
2.34 20:15:18
2.88 20:15:07
2.77 20:14:57
2.88 20:14:30
1.17 20:14:05
2.13 20:14:02
2.12 0:13:59
2.13 20:13:55
1.57 20:13:51
1.01 20:13:48
1.57 20:13:35
1.01 20:13:17
1.56 20:13:05
3.14 20:12:53
1.40 20:12:28
4.71 20:12:09
1.96 20:11:44
5.18 20:11:26
2.00 20:10:51
1.08 20:10:47
1.34 20:10:44
2.32 20:10:29
1.00 20:10:25
2.59 20:10:13
1.00 20:09:48
8.70 20:09:37
1.32 20:08:59
1.69 20:08:53
1.50 20:08:50
1.69 20:08:44
1.50 20:08:36
1.00 20:08:30
1.70 20:08:22
1.00 20:08:11
1.70 20:08:07
1.24 20:07:44
1.89 20:07:32
1.09 20:07:11
1.42 20:06:58
1.33 20:06:41
2.60 20:06:27
8.51 20:06:05
2.57 20:05:29
7.28 20:05:06
1.04 20:04:36
1.24 20:04:18
1.25 20:04:10
1.23 20:03:53
50.75 20:03:40
2.54 20:02:47
2.04 20:02:19
2.22 20:02:04
3.11 20:01:48
2.05 20:01:34
6.22 20:01:22
1.46 20:01:03
2.07 20:00:59
1.00 20:00:57
1.46 20:00:42
1.00 20:00:23
1.40 20:00:14
4.75 19:59:58
4.44 19:59:50
1.17 19:59:47
4.44 19:59:38
1.09 19:59:35
4.44 19:59:31
1.09 19:58:59
3.05 19:58:47
1.04 19:58:23
2.57 19:58:20
1.21 19:58:08
3.62 19:58:05
1.21 19:57:51
3.62 19:57:36
1.27 19:57:25
127.34 19:57:23
1.27 19:57:10
127.34 19:56:55
14.81 19:56:08
1.89 19:56:05
14.81 19:55:46
