valor hora
1.58 23:54:25
1.68 23:54:08
8.62 23:53:49
1.63 23:53:12
1.27 23:52:52
5.99 23:52:35
1.05 23:52:03
2.03 23:51:51
3.50 23:51:30
4.01 23:51:02
4.34 23:50:29
1.68 23:49:58
1.68 23:49:33
38.67 23:49:16
2.68 23:48:22
3.19 23:47:56
2.59 23:47:31
2.60 23:47:08
2.37 23:46:44
1.19 23:46:21
1.37 23:46:07
1.06 23:45:47
1.81 23:45:34
23.37 23:45:14
1.85 23:44:26
2.59 23:44:04
1.06 23:43:38
1.82 23:43:25
3.45 23:43:07
1.14 23:42:40
2.88 23:42:25
1.60 23:42:02
2.67 23:41:44
4.42 23:41:19
3.67 23:40:48
1.87 23:40:21
1.65 23:39:59
1.24 23:39:40
9.44 23:39:22
3.45 23:38:42
1.07 23:38:23
1.46 23:38:21
1.07 23:38:16
1.46 23:38:02
4.25 23:37:43
1.62 23:37:15
2.38 23:36:57
9.58 23:36:32
3.40 23:35:43
29.18 23:35:16
2.34 23:34:16
1.39 23:33:36
1.90 23:33:15
2.43 23:33:01
1.54 23:32:59
2.43 23:32:52
1.54 23:32:28
1.00 23:32:11
1.80 23:31:55
3.32 23:31:36
8.13 23:31:08
2.52 23:30:32
1.69 23:30:09
6.43 23:29:50
3.38 23:29:17
1.02 23:28:52
1.16 23:28:38
1.26 23:28:22
1.09 23:28:05
1.69 23:27:52
1.64 23:27:31
4.89 23:27:10
1.24 23:26:41
2.34 23:26:24
3.75 23:26:02
13.17 23:25:32
221.09 23:24:42
1.30 23:23:18
14.57 23:23:04
4.06 23:22:18
1.23 23:21:49
3.66 23:21:33
1.38 23:21:01
1.16 23:20:46
4.54 23:20:31
1.00 23:20:01
2.25 23:19:49
1.50 23:19:29
22.76 23:19:09
3.14 23:18:19
2.84 23:17:54
1.13 23:17:28
1.48 23:17:14
7.16 23:16:55
3.61 23:16:19
1.08 23:16:12
1.55 23:16:09
1.55 23:16:06
1.44 23:16:05
1.08 23:15:49
1.44 23:15:36
2.68 23:15:17
213.01 23:14:49
1.11 23:13:35
3.92 23:13:22
1.00 23:12:52
2.26 23:12:39
1.98 23:12:16
2.02 23:11:56
1.09 23:11:36
1.77 23:11:23
1.04 23:11:06
1.20 23:10:52
1.36 23:10:37
1.14 23:10:19
2.00 23:10:00
2.72 23:09:38
15.15 23:09:12
1.00 23:08:28
1.46 23:08:17
2.03 23:07:57
1.88 23:07:34
31.48 23:07:15
1.13 23:06:22
6.00 23:06:11
4.75 23:05:37
1.87 23:05:07
1.47 23:05:01
1.38 23:04:58
1.28 23:04:40
1.38 23:04:24
2.71 23:04:14
1.91 23:04:08
1.91 23:04:05
1.06 23:03:45
3.67 23:03:33
2.28 23:03:05
2.50 23:02:42
1.17 23:02:22
1.23 23:02:07
1.02 23:01:52
9.00 23:01:38
2.60 23:01:00
1.39 23:00:34
2.56 23:00:18
2.29 22:59:53
1.14 22:59:31
1.01 22:59:19
1.56 22:59:13
1.11 22:59:07
3.53 22:59:04
17.48 22:58:49
3.53 22:58:23
1.57 22:58:21
1.28 22:58:19
3.53 22:58:03
1.28 22:57:37
1.47 22:57:22
1.05 22:57:16
1.21 22:57:14
1.05 22:57:01
1.21 22:56:49
1.10 22:56:32
1.09 22:56:19
9.97 22:56:05
1.22 22:55:31
1.05 22:55:26
1.05 22:55:23
3.53 22:55:11
1.98 22:54:59
2.03 22:54:57
1.98 22:54:44
2.03 22:54:25
1.70 22:54:22
4.01 22:54:01
2.50 22:53:35
1.47 22:53:03
7.00 22:52:43
1.19 22:52:12
1.14 22:51:54
2.34 22:51:41
1.91 22:51:20
